listing_id,date,price,property_type,room_type,accomodates,bedrooms,beds
40334325,2022-08-03,56.0,Entire rental unit,Entire home/apt,2,1.0,2.0
22742449,2022-11-13,95.0,Entire rental unit,Entire home/apt,4,2.0,2.0
22742449,2022-06-28,112.0,Entire rental unit,Entire home/apt,4,2.0,2.0
22742449,2022-01-02,155.0,Entire rental unit,Entire home/apt,4,2.0,2.0
22742449,2022-09-05,125.0,Entire rental unit,Entire home/apt,4,2.0,2.0
22742449,2022-07-15,199.0,Entire rental unit,Entire home/apt,4,2.0,2.0
22742449,2022-08-29,120.0,Entire rental unit,Entire home/apt,4,2.0,2.0
34621717,2022-04-17,75.0,Entire rental unit,Entire home/apt,2,1.0,1.0
34621717,2022-10-22,74.0,Entire rental unit,Entire home/apt,2,1.0,1.0
34621717,2022-07-25,76.0,Entire rental unit,Entire home/apt,2,1.0,1.0
34621717,2022-02-16,80.0,Entire rental unit,Entire home/apt,2,1.0,1.0
34621717,2022-08-20,81.0,Entire rental unit,Entire home/apt,2,1.0,1.0
34621717,2022-01-08,78.0,Entire rental unit,Entire home/apt,2,1.0,1.0
34621717,2022-08-04,77.0,Entire rental unit,Entire home/apt,2,1.0,1.0
34621717,2022-04-06,82.0,Entire rental unit,Entire home/apt,2,1.0,1.0
34621717,2022-04-04,79.0,Entire rental unit,Entire home/apt,2,1.0,1.0
38281744,2022-01-31,150.0,Room in hotel,Private room,2,1.0,1.0
18835003,2022-05-21,100.0,Entire loft,Entire home/apt,2,1.0,1.0
27777408,2022-07-05,22.0,Private room in guesthouse,Private room,2,1.0,1.0
4502646,2022-08-03,75.0,Entire loft,Entire home/apt,4,1.0,2.0
4502646,2022-09-09,89.0,Entire loft,Entire home/apt,4,1.0,2.0
36963744,2022-11-30,199.0,Entire rental unit,Entire home/apt,4,1.0,1.0
36963744,2022-05-24,95.0,Entire rental unit,Entire home/apt,4,1.0,1.0
36963744,2022-06-16,160.0,Entire rental unit,Entire home/apt,4,1.0,1.0
36963744,2022-03-26,115.0,Entire rental unit,Entire home/apt,4,1.0,1.0
36963744,2022-01-07,118.0,Entire rental unit,Entire home/apt,4,1.0,1.0
36963744,2022-01-10,72.0,Entire rental unit,Entire home/apt,4,1.0,1.0
36963744,2021-12-28,90.0,Entire rental unit,Entire home/apt,4,1.0,1.0
36963744,2022-01-01,150.0,Entire rental unit,Entire home/apt,4,1.0,1.0
36963744,2021-12-31,180.0,Entire rental unit,Entire home/apt,4,1.0,1.0
32784417,2022-11-21,75.0,Private room in rental unit,Private room,3,1.0,3.0
31198633,2022-01-21,65.0,Private room in townhouse,Private room,3,2.0,2.0
31198633,2022-08-06,66.0,Private room in townhouse,Private room,3,2.0,2.0
43692011,2022-03-02,54.0,Private room in townhouse,Private room,2,1.0,1.0
43692011,2022-08-06,55.0,Private room in townhouse,Private room,2,1.0,1.0
31130575,2022-09-04,199.0,Entire rental unit,Entire home/apt,8,3.0,3.0
13372879,2022-10-21,69.0,Entire rental unit,Entire home/apt,2,1.0,1.0
13372879,2022-08-05,73.0,Entire rental unit,Entire home/apt,2,1.0,1.0
13372879,2022-08-31,71.0,Entire rental unit,Entire home/apt,2,1.0,1.0
13372879,2022-09-04,70.0,Entire rental unit,Entire home/apt,2,1.0,1.0
13372879,2022-08-27,72.0,Entire rental unit,Entire home/apt,2,1.0,1.0
48126265,2022-05-20,60.0,Private room in rental unit,Private room,4,1.0,1.0
32311829,2022-10-12,75.0,Private room in townhouse,Private room,6,1.0,1.0
32311829,2022-02-11,76.0,Private room in townhouse,Private room,6,1.0,1.0
32311829,2022-02-25,77.0,Private room in townhouse,Private room,6,1.0,1.0
32311829,2022-02-19,78.0,Private room in townhouse,Private room,6,1.0,1.0
32311829,2022-02-05,80.0,Private room in townhouse,Private room,6,1.0,1.0
33129809,2022-05-07,49.0,Entire rental unit,Entire home/apt,2,1.0,2.0
33129809,2022-06-22,48.0,Entire rental unit,Entire home/apt,2,1.0,2.0
33129809,2022-01-02,33.0,Entire rental unit,Entire home/apt,2,1.0,2.0
33129809,2022-02-24,34.0,Entire rental unit,Entire home/apt,2,1.0,2.0
33129809,2022-02-16,35.0,Entire rental unit,Entire home/apt,2,1.0,2.0
33129809,2022-01-04,36.0,Entire rental unit,Entire home/apt,2,1.0,2.0
33129809,2022-01-22,37.0,Entire rental unit,Entire home/apt,2,1.0,2.0
41703665,2022-11-02,199.0,Entire townhouse,Entire home/apt,8,1.0,3.0
46791742,2022-04-24,95.0,Entire rental unit,Entire home/apt,2,1.0,1.0
46791742,2022-08-16,160.0,Entire rental unit,Entire home/apt,2,1.0,1.0
46791742,2022-11-07,199.0,Entire rental unit,Entire home/apt,2,1.0,1.0
46791742,2022-03-19,115.0,Entire rental unit,Entire home/apt,2,1.0,1.0
46791742,2022-01-09,72.0,Entire rental unit,Entire home/apt,2,1.0,1.0
46791742,2022-01-08,118.0,Entire rental unit,Entire home/apt,2,1.0,1.0
46791742,2021-12-29,90.0,Entire rental unit,Entire home/apt,2,1.0,1.0
46791742,2022-01-15,125.0,Entire rental unit,Entire home/apt,2,1.0,1.0
27132678,2022-02-23,70.0,Entire rental unit,Entire home/apt,2,1.0,1.0
38080630,2022-09-12,59.0,Entire rental unit,Entire home/apt,9,2.0,3.0
38080630,2022-06-16,49.0,Entire rental unit,Entire home/apt,9,2.0,3.0
38080630,2022-08-02,64.0,Entire rental unit,Entire home/apt,9,2.0,3.0
38080630,2022-09-02,139.0,Entire rental unit,Entire home/apt,9,2.0,3.0
38080630,2022-04-16,129.0,Entire rental unit,Entire home/apt,9,2.0,3.0
38080630,2022-07-17,149.0,Entire rental unit,Entire home/apt,9,2.0,3.0
38080630,2022-01-15,89.0,Entire rental unit,Entire home/apt,9,2.0,3.0
38080630,2022-01-22,99.0,Entire rental unit,Entire home/apt,9,2.0,3.0
38080630,2022-01-03,46.0,Entire rental unit,Entire home/apt,9,2.0,3.0
38080630,2022-05-07,160.0,Entire rental unit,Entire home/apt,9,2.0,3.0
38080630,2022-12-22,79.0,Entire rental unit,Entire home/apt,9,2.0,3.0
31055825,2022-02-03,90.0,Entire rental unit,Entire home/apt,2,1.0,1.0
31682997,2022-02-06,45.0,Entire rental unit,Entire home/apt,4,1.0,3.0
52753471,2022-02-04,110.0,Entire rental unit,Entire home/apt,4,2.0,3.0
52753471,2021-12-26,120.0,Entire rental unit,Entire home/apt,4,2.0,3.0
48193498,2022-04-28,199.0,Entire rental unit,Entire home/apt,6,3.0,3.0
28839558,2022-06-22,78.0,Entire rental unit,Entire home/apt,2,1.0,1.0
28839558,2022-04-08,75.0,Entire rental unit,Entire home/apt,2,1.0,1.0
28839558,2022-07-24,79.0,Entire rental unit,Entire home/apt,2,1.0,1.0
27479453,2022-09-18,199.0,Entire loft,Entire home/apt,4,2.0,2.0
37774768,2022-07-20,125.0,Entire rental unit,Entire home/apt,2,1.0,1.0
37774768,2022-12-04,127.0,Entire rental unit,Entire home/apt,2,1.0,1.0
37774768,2022-11-27,126.0,Entire rental unit,Entire home/apt,2,1.0,1.0
